player_name,player_name_normalized,injury_date,return_date,days_out,injury_type,injury_category,severity,season
Zack Steffen,zack steffen,2023-06-01,2023-12-31,214 days,Knee surgery,knee,minor,22/23
Zack Steffen,zack steffen,2022-08-26,2022-09-18,24 days,Knee problems,knee,minor,22/23
Rúben Dias,rben dias,2022-12-22,2023-01-15,25 days,Hamstring injury,hamstring,minor,22/23
Nathan Aké,nathan ak,2023-05-07,2023-05-27,21 days,Hamstring injury,hamstring,minor,22/23
Nathan Aké,nathan ak,2023-04-19,2023-05-01,13 days,Hamstring muscle injury,hamstring,minor,22/23
John Stones,john stones,2023-01-27,2023-03-01,34 days,Hamstring injury,hamstring,minor,22/23
John Stones,john stones,2022-09-26,2022-10-20,25 days,Hamstring injury,hamstring,minor,22/23
Aymeric Laporte,aymeric laporte,2023-02-21,2023-02-24,4 days,Ill,other,minor,22/23
Aymeric Laporte,aymeric laporte,2022-06-30,2022-10-03,96 days,Knee surgery,knee,career-threatening,22/23
Kyle Walker,kyle walker,2022-11-18,2022-11-22,5 days,Fitness,other,minor,22/23
Kyle Walker,kyle walker,2022-10-03,2022-11-17,46 days,Groin injury,groin,minor,22/23
Kalvin Phillips,kalvin phillips,2022-08-26,2022-11-08,75 days,Shoulder injury,upper_body,severe,22/23
Máximo Perrone,mximo perrone,2022-08-23,2022-10-14,53 days,Pneumothorax,other,minor,22/23
Claudio Gomes,claudio gomes,2023-01-16,2023-02-06,22 days,Broken hand,other,minor,22/23
Kevin De Bruyne,kevin de bruyne,2023-04-26,2023-05-04,9 days,Foot bruise,other,severe,22/23
Kevin De Bruyne,kevin de bruyne,2023-02-21,2023-02-24,4 days,Ill,other,minor,22/23
Sergio Gómez,sergio gmez,2022-07-01,2022-08-03,34 days,Pubic bone bruise,other,minor,22/23
Phil Foden,phil foden,2023-03-26,2023-04-17,23 days,Appendectomy,other,minor,22/23
Erling Haaland,erling haaland,2023-03-21,2023-04-03,14 days,Groin problems,groin,minor,22/23
Erling Haaland,erling haaland,2022-10-26,2022-11-04,10 days,Foot bruise,other,minor,22/23
Julián Alvarez,julin alvarez,2022-03-04,2022-03-06,3 days,Ill,other,minor,22/23
William Saliba,william saliba,2023-03-16,2023-06-20,97 days,Back injury,back,career-threatening,22/23
Oleksandr Zinchenko,oleksandr zinchenko,2023-05-07,2023-08-18,104 days,Calf muscle tear,calf,minor,22/23
Oleksandr Zinchenko,oleksandr zinchenko,2023-04-14,2023-04-17,4 days,unknown injury,other,minor,22/23
Oleksandr Zinchenko,oleksandr zinchenko,2022-09-16,2022-11-01,47 days,Calf injury,calf,minor,22/23
Oleksandr Zinchenko,oleksandr zinchenko,2022-08-26,2022-09-03,9 days,Knee problems,knee,severe,22/23
Takehiro Tomiyasu,takehiro tomiyasu,2023-03-16,2023-07-01,108 days,Knee surgery,knee,minor,22/23
Takehiro Tomiyasu,takehiro tomiyasu,2022-11-03,2022-11-15,13 days,muscular problems,other,minor,22/23
Ainsley Maitland-Niles,ainsley maitlandniles,2023-03-06,2023-03-16,11 days,unknown injury,other,minor,22/23
Thomas Partey,thomas partey,2022-09-22,2022-09-30,9 days,Knock,other,severe,22/23
Thomas Partey,thomas partey,2022-08-25,2022-09-15,22 days,Thigh problems,thigh,minor,22/23
Mohamed Elneny,mohamed elneny,2023-01-14,2023-09-20,250 days,Knee injury,knee,minor,22/23
Mohamed Elneny,mohamed elneny,2022-08-27,2022-11-01,67 days,Thigh problems,thigh,minor,22/23
Emile Smith Rowe,emile smith rowe,2023-01-25,2023-02-16,23 days,Thigh problems,thigh,minor,22/23
Emile Smith Rowe,emile smith rowe,2022-09-10,2023-01-09,122 days,Groin surgery,groin,minor,22/23
Gabriel Martinelli,gabriel martinelli,2023-05-14,2023-06-01,19 days,Ankle injury,ankle,minor,22/23
Nicolas Pépé,nicolas pp,2023-04-20,2023-08-20,123 days,Knee injury,knee,minor,22/23
Nicolas Pépé,nicolas pp,2023-04-08,2023-04-17,10 days,Calf injury,calf,minor,22/23
Nicolas Pépé,nicolas pp,2023-01-28,2023-03-15,47 days,Knee injury,knee,minor,22/23
Reiss Nelson,reiss nelson,2022-12-22,2023-02-12,53 days,Thigh problems,thigh,minor,22/23
Reiss Nelson,reiss nelson,2022-08-08,2022-10-03,57 days,Thigh problems,thigh,minor,22/23
Gabriel Jesus,gabriel jesus,2022-12-02,2023-03-11,100 days,Knee injury,knee,minor,22/23
Eddie Nketiah,eddie nketiah,2023-03-02,2023-04-13,43 days,Ankle injury,ankle,minor,22/23
Khayon Edwards,khayon edwards,2022-08-25,2022-10-05,42 days,unknown injury,other,minor,22/23
Edouard Mendy,edouard mendy,2023-01-05,2023-03-16,71 days,Shoulder injury,upper_body,severe,22/23
Edouard Mendy,edouard mendy,2022-12-08,2023-01-04,28 days,Knock,other,minor,22/23
Marcus Bettinelli,marcus bettinelli,2023-04-27,2023-10-16,173 days,unknown injury,other,minor,22/23
Wesley Fofana,wesley fofana,2022-12-20,2023-02-13,56 days,Knee injury,knee,minor,22/23
Wesley Fofana,wesley fofana,2022-10-06,2022-12-16,72 days,Knee injury,knee,severe,22/23
Benoît Badiashile,benot badiashile,2023-05-19,2023-08-31,105 days,Hamstring injury,hamstring,minor,22/23
Benoît Badiashile,benot badiashile,2022-10-13,2022-10-20,8 days,Adductor injury,groin,severe,22/23
Benoît Badiashile,benot badiashile,2022-07-15,2022-08-10,27 days,Muscle injury,muscle,minor,22/23
Trevoh Chalobah,trevoh chalobah,2023-02-25,2023-02-28,4 days,Fitness,other,minor,22/23
Trevoh Chalobah,trevoh chalobah,2022-08-29,2022-08-31,3 days,Fitness,other,minor,22/23
Kalidou Koulibaly,kalidou koulibaly,2023-04-12,2023-05-20,39 days,Hamstring injury,hamstring,minor,22/23
César Azpilicueta,csar azpilicueta,2023-02-18,2023-03-10,21 days,Head injury,other,minor,22/23
Thiago Silva,thiago silva,2023-02-27,2023-04-10,43 days,Ligament injury,other,minor,22/23
Thiago Silva,thiago silva,2023-02-26,2023-04-10,44 days,Knee injury,knee,minor,22/23
Ben Chilwell,ben chilwell,2023-05-06,2023-06-03,29 days,Hamstring injury,hamstring,minor,22/23
Ben Chilwell,ben chilwell,2022-11-03,2023-01-31,90 days,Hamstring injury,hamstring,career-threatening,22/23
Marc Cucurella,marc cucurella,2023-04-25,2023-06-02,39 days,Muscle injury,muscle,minor,22/23
Abdul Rahman Baba,abdul rahman baba,2023-02-15,2023-05-15,90 days,unknown injury,other,career-threatening,22/23
Abdul Rahman Baba,abdul rahman baba,2023-02-01,2023-02-05,5 days,Tonsillitis,other,minor,22/23
Abdul Rahman Baba,abdul rahman baba,2022-09-29,2022-10-16,18 days,Hamstring injury,hamstring,minor,22/23
Reece James,reece james,2023-04-25,2023-05-31,37 days,Hamstring injury,hamstring,minor,22/23
Reece James,reece james,2023-03-26,2023-03-31,6 days,Thigh problems,thigh,minor,22/23
Reece James,reece james,2023-03-09,2023-03-15,7 days,Ill,other,severe,22/23
Reece James,reece james,2023-03-01,2023-03-05,5 days,Hamstring injury,hamstring,minor,22/23
Reece James,reece james,2022-12-27,2023-01-31,36 days,Knee injury,knee,minor,22/23
Reece James,reece james,2022-10-13,2022-12-12,61 days,Knee injury,knee,minor,22/23
Denis Zakaria,denis zakaria,2023-01-13,2023-02-13,32 days,Hamstring injury,hamstring,minor,22/23
N'Golo Kanté,ngolo kant,2023-05-12,2023-05-29,18 days,Groin injury,groin,minor,22/23
N'Golo Kanté,ngolo kant,2023-02-20,2023-03-12,21 days,Fitness,other,minor,22/23
N'Golo Kanté,ngolo kant,2022-08-15,2023-02-20,190 days,Hamstring injury,hamstring,minor,22/23
